1,1,0.01639344262295082,Shiboy@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
1,2,0.01639344262295082,CadacDC1@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
2,1,0.03278688524590164,Shiboy@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
2,2,0.03278688524590164,CadacDC1@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
3,1,0.04918032786885246,Shiboy@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
3,2,0.04918032786885246,CadacDC1@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
4,1,0.06557377049180328,Shiboy@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
4,2,0.06557377049180328,CadacDC1@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
5,1,0.08196721311475409,Shiboy@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
5,2,0.08196721311475409,CadacDC1@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
6,1,0.09836065573770492,Shiboy@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
6,2,0.09836065573770492,CadacDC1@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
7,1,0.11475409836065574,Shiboy@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
7,2,0.11475409836065574,CadacDC1@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
8,1,0.13114754098360656,Shiboy@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
agreement,Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD],0.874024298478376,0.873832627329898
